date,confirmed,fatalities,new_case,growth_factor,mortality
2020-06-14,5729972,307056,112935,1.030588686201327,0.05358769641457236
2020-06-15,5829422,310068,99450,0.880595032540842,0.05319017906063414
2020-06-16,5947482,315939,118060,1.1871292106586224,0.053121472246574264
2020-06-17,6063744,320325,116262,0.9847704557004913,0.05282627366854537
2020-06-18,6175873,324533,112129,0.9644509814040702,0.05254852228988517
2020-06-19,6323783,329945,147910,1.3191056729302857,0.052175256488086325
2020-06-20,6448478,333466,124695,0.8430464471638158,0.05171235755165793
2020-06-21,6550663,337145,102185,0.8194795300533301,0.05146730949218423
2020-06-22,6657513,340280,106850,1.0456524930273523,0.051112179578169804
2020-06-23,6786864,344725,129351,1.2105849321478708,0.05079297301375127
2020-06-24,6923256,349133,136392,1.0544332861748267,0.05042901779162868
2020-06-25,7060907,353265,137651,1.009230746671359,0.05003110790157695
2020-06-26,7206303,357376,145396,1.0562654829968543,0.04959214176811605
2020-06-27,7342816,361326,136513,0.9389047841756307,0.049208096730191796
2020-06-28,7465622,364164,122806,0.8995919802509651,0.0487787889609198
2020-06-29,7579012,367437,113390,0.9233262218458381,0.048480857399354954
2020-06-30,7706841,371757,127829,1.1273392715407002,0.04823727387135663
2020-07-01,7872410,375988,165569,1.2952381697423903,0.04776021574079602
2020-07-02,8025337,380334,152927,0.9236451268051387,0.04739165470559056
2020-07-03,8175005,384583,149668,0.9786891784969299,0.047043763275985764
2020-07-04,8322870,388663,147865,0.9879533367186039,0.0466981942527037
2020-07-05,8455858,391820,132988,0.8993879552294323,0.04633710736391269
2020-07-06,8576288,395275,120430,0.9055704274069841,0.04608928711349246
2020-07-07,8726760,400073,150472,1.2494561155858175,0.045844391274654055
2020-07-08,8880458,404511,153698,1.0214392046360785,0.04555069119182817
2020-07-09,9044446,408887,163988,1.0669494723418653,0.045208628588196555
2020-07-10,9208696,413353,164250,1.001597677878869,0.04488724570775276
2020-07-11,9364955,417440,156259,0.9513485540334855,0.04457469363173662
2020-07-12,9498571,420950,133616,0.8550931466347539,0.0443171925545432
2020-07-13,9630398,424405,131827,0.9866108849239612,0.04406931053109124
2020-07-14,9784113,429067,153715,1.166035789329955,0.04385343873277015
2020-07-15,9947037,433523,162924,1.0599095729109065,0.04358312932785914
2020-07-16,10122006,438327,174969,1.073930176032997,0.0433043608154352
2020-07-17,10292034,444058,170028,0.9717607118975361,0.043145796059360086
2020-07-18,10465328,448794,173294,1.0192086009363164,0.042883892411207755
2020-07-19,10617937,452391,152609,0.8806363751774441,0.04260629913324971
2020-07-20,10762151,456030,144214,0.9449901381963056,0.04237349949838095
2020-07-21,10930730,461099,168579,1.1689503099560377,0.04218373338285732
2020-07-22,11139675,466816,208945,1.2394485671406283,0.04190571089371997
2020-07-23,11353433,475623,213758,1.023034769915528,0.04189243905345634
2020-07-24,11560435,480542,207002,0.9683941653645711,0.041567812975895804
2020-07-25,11749174,485176,188739,0.9117737992869634,0.04129447738198447
2020-07-26,11907040,488352,157866,0.8364249042328294,0.04101371961461455
2020-07-27,12075981,492394,168941,1.0701544347737955,0.040774658390071994
2020-07-28,12261870,497319,185889,1.1003190462942685,0.0405581693493733
2020-07-29,12481208,502507,219338,1.1799407173097924,0.04026108690761343
2020-07-30,12693450,507312,212242,0.9676481047515706,0.03996643938409179
2020-07-31,12914796,512253,221346,1.0428944318278193,0.03966404115094036
2020-08-01,13106642,516610,191846,0.8667244946825332,0.0394158931021386
2020-08-02,13291776,520494,185134,0.9650136046620728,0.03915910108626567
2020-08-03,13452452,524593,160676,0.8678902848747394,0.038996087850750184
2020-08-04,13650805,529832,198353,1.2344905275212228,0.038813242149455654
2020-08-05,13872447,535437,221642,1.117411886888527,0.03859715593074531
2020-08-06,14097842,540678,225395,1.0169327113092284,0.038351827180358525
2020-08-07,14320114,545724,222272,0.986144324408261,0.03810891449607175
2020-08-08,14524175,550053,204061,0.9180688525770228,0.03787154864217761
2020-08-09,14702794,554097,178619,0.8753215950132558,0.03768651046869051
2020-08-10,14880303,558807,177509,0.9937856555013744,0.03755346917330917
2020-08-11,15089394,563978,209091,1.1779177393822284,0.03737578858368997
2020-08-12,15309599,569040,220205,1.0531538899330912,0.03716883766844579
2020-08-13,15546840,574179,237241,1.077364274199042,0.03693219972676119
2020-08-14,15784670,582974,237830,1.002482707457817,0.03693292289290812
2020-08-15,15985076,587322,200406,0.8426439053105159,0.03674189600349726
2020-08-16,16160027,590960,174951,0.8729828448250052,0.03656924583108679
2020-08-17,16330723,594642,170696,0.9756789043789403,0.03641247236879837
2020-08-18,16542922,600208,212199,1.2431398509631157,0.03628186120928334
2020-08-19,16774692,605585,231770,1.0922294638523273,0.036101109933940966
2020-08-20,17002838,610546,228146,0.9843638089485266,0.03590847598500909
2020-08-21,17214372,614878,211534,0.9271869767604954,0.035718874902900904
2020-08-22,17435152,619464,220780,1.0437092855049306,0.03552960134789763
2020-08-23,17606647,622865,171495,0.7767687290515445,0.03537669608529097
2020-08-24,17794494,626886,187847,1.0953497186506895,0.03522921191240391
2020-08-25,17997686,631928,203192,1.081688821221526,0.035111624905557304
2020-08-26,18235677,636980,237991,1.1712616638450333,0.034930427864016234
2020-08-27,18473610,641754,237933,0.999756293305209,0.03473896006248914
2020-08-28,18709778,646290,236168,0.9925819453375531,0.03454290050902795
2020-08-29,18930415,650703,220637,0.9342374919548796,0.03437341442329711
2020-08-30,19116614,654289,186199,0.8439155717309427,0.03422619717069142
2020-08-31,19342927,657913,226313,1.215436173126601,0.034013104635094785
2020-09-01,19565296,663276,222369,0.9825728084555461,0.03390063712810683
2020-09-02,19807121,668298,241825,1.087494210074246,0.033740289666529526
2020-09-03,20043579,672934,236458,0.9778062648609531,0.03357354492428723
2020-09-04,20306462,677841,262883,1.111753461502677,0.0333805563962841
2020-09-05,20532856,682015,226394,0.8611968061837395,0.033215788393002904
2020-09-06,20731603,685384,198747,0.8778810392501568,0.03305986517299217
2020-09-07,20925342,694456,193739,0.9748021353781441,0.033187318993400446
2020-09-08,21138536,698906,213194,1.100418604411089,0.03306312225217489
2020-09-09,21388744,703844,250208,1.1736165182885072,0.03290721512212218
2020-09-10,21651593,708717,262849,1.0505219657245173,0.03273278783690419
2020-09-11,21924319,713391,272726,1.0375767075393096,0.032538798582523815
2020-09-12,22169194,717562,244875,0.8978791901028872,0.032367527660229774
2020-09-13,22376823,720836,207629,0.8478979070954569,0.03221350948702593
2020-09-14,22604440,724830,227617,1.0962678623891653,0.03206582423630048
2020-09-15,22849324,730043,244884,1.075859887442502,0.03195031065251646
2020-09-16,23113567,734857,264243,1.0790537560640956,0.03179331861672411
2020-09-17,23382085,739457,268518,1.0161782904372112,0.031624938494578224
2020-09-18,23657405,744213,275320,1.0253316351231574,0.031457930402763956
2020-09-19,23906503,748750,249098,0.9047580996658434,0.031319929978884824
2020-09-20,24118790,752218,212287,0.852222819934323,0.03118804882002787
2020-09-21,24340897,755877,222107,1.0462581316802253,0.031053785733533155
2020-09-22,24584030,760804,243133,1.094666084364743,0.03094708231319275
2020-09-23,24819534,765343,235504,0.9686221121772857,0.030836316266050764
2020-09-24,25124166,771088,304632,1.29353216930498,0.030691088412646214
2020-09-25,25404898,776036,280732,0.9215446834213084,0.030546707961590713
2020-09-26,25647338,780603,242440,0.8635994471595686,0.03043602419869072
2020-09-27,25859610,783962,212272,0.8755650882692625,0.030316079786199403
2020-09-28,26079029,787559,219419,1.0336690661038668,0.030198938771838477
2020-09-29,26316161,792612,237132,1.0807268285791112,0.030118830782347016
2020-09-30,26600597,798095,284436,1.1994838317898893,0.030002898055257934
2020-10-01,26871217,805918,270620,0.9514266829796509,0.029991868250701114
2020-10-02,27111770,809893,240553,0.8888958687458429,0.029872376462326142
2020-10-03,27393957,814551,282187,1.1730762035809157,0.02973469659750141
2020-10-04,27617314,817962,223357,0.7915212252867779,0.02961772459117494
2020-10-05,27875860,824397,258546,1.1575459913949417,0.029573867855556744
2020-10-06,28154603,829466,278743,1.0781176270373551,0.029461115114995582
2020-10-07,28452771,834352,298168,1.0696878486634642,0.02932410344145391
2020-10-08,28752948,839620,300177,1.0067378122400794,0.02920117964947455
2020-10-09,29054416,844784,301468,1.0043007958637737,0.02907592429322964
2020-10-10,29354179,848978,299763,0.9943443416880067,0.028921878550921147
2020-10-11,29593429,852522,239250,0.7981305231132595,0.028807814058992624
2020-10-12,29842095,856094,248666,1.0393563218390804,0.028687463128845344
2020-10-13,30104912,860548,262817,1.056907659269864,0.02858496978831893
2020-10-14,30424714,865603,319802,1.216823873645921,0.02845065363638258
2020-10-15,30764319,870846,339605,1.0619226896642298,0.028307013719367558
