Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Costa Rica,CRI,2017,21.21308224,3.640153354,16.66609543,1.126990059
Cote d'Ivoire,CIV,2017,118.8365594,96.25337526,21.82017138,1.256875478
Croatia,HRV,2017,33.55207459,4.654715055,26.80349322,2.636935302
Cuba,CUB,2017,32.46048102,1.722008769,29.61062874,1.40963722
Cyprus,CYP,2017,25.95910461,0.190199365,23.39594606,2.943205787
Czech Republic,CZE,2017,30.15992328,0.958861042,27.47477476,2.123831687
Democratic Republic of Congo,COD,2017,142.6803299,110.9057683,28.20791744,6.548576347
Denmark,DNK,2017,19.32488726,0.103695525,16.77503004,2.854666116
Djibouti,DJI,2017,80.6963249,32.24147876,46.90101673,2.274099614
Dominica,DMA,2017,37.67525842,6.837761311,30.83747323,3.12914E-05
Dominican Republic,DOM,2017,36.97274516,11.25390844,24.79712076,1.129399653
East Asia,,2017,72.82414057,16.57713632,48.70226537,11.19860279
Eastern Europe,,2017,47.54567794,1.505015779,44.88414818,1.414941988
Eastern Sub-Saharan Africa,,2017,105.1951351,85.13807859,18.84799267,2.11629672
Ecuador,ECU,2017,27.13524291,3.113057544,23.44804757,0.703651986
Egypt,EGY,2017,113.3555118,0.726384217,109.6162665,4.614963789
El Salvador,SLV,2017,45.89819872,16.14333569,28.62946891,1.510195987
England,,2017,17.88095104,0.196988607,16.22855707,1.712086414
Equatorial Guinea,GNQ,2017,78.35860985,38.69715608,38.81393882,1.343968992
Eritrea,ERI,2017,132.7004743,94.84387619,35.67072414,3.750114096
Estonia,EST,2017,15.65168687,3.932634445,11.14902884,0.644178341
Ethiopia,ETH,2017,88.82900506,70.59407937,17.2425537,1.766512964
Fiji,FJI,2017,100.5946678,57.96317382,42.52815292,0.128667006
Finland,FIN,2017,8.5074915,0.132150865,7.635161604,0.804794085
France,FRA,2017,11.81922211,0.088896866,10.77740994,1.131926392
Gabon,GAB,2017,72.05364229,10.87468633,60.28809483,1.248200205
